title,author,publisher,publication_year,call_number,ISBN
한중록,혜경궁 홍씨 지음;정병설 옮김,문학동네,2011,813.5 홍887ㅎ,9788954608916
국경 전쟁,클라우스 도즈 지음;함규진 옮김,미래의창,2022,392.98 도64ㄱ,9791191464733
셰익스피어처럼 걸었다,최여정 지음,바다,2018,842.09 최94ㅅ,9788955611397
(청소년을 위한 #해시태그)한국 민주주의사,조한성 지음;최경식 일러스트,생각학교,2024,340.911 조72ㅎ,9791193811146
(청소년을 위한 #해시태그)한국독립운동사,조한성 지음;[최경식 일러스트],생각학교,2023,911.06 조72ㅎ,9791191360639
(꼬리에 꼬리를 무는)한국 현대사,조성일 지음,주니어태학(태학사),2024,911.07 조53ㅎ,9791168102996
(꼬리에 꼬리를 무는)한국 근대사,조성일 지음,주니어태학(태학사),2024,911.05 조53ㅎ,9791168102989
목민심서 한번 읽어 보지 않겠는가,임승수 지음,우리학교,2024,329 임56ㅁ,9791167554086
"조선, 시험지옥에 빠지다",이한 지음,위즈덤하우스,2024,911.05 이72ㅈ,9791171712410
지구 박물관 여행,에바 벵사르 글;뱅자맹 쇼 그림;이세진 옮김,아이스크림미디어,2025,D 069 벵52ㅈ,9791159290299
"국제 분쟁으로 보다, 세계사",송영심 지음,풀빛,2024,909 송94ㄱ,9791161729305
"소울트립 교과서 여행. 1: 국어, 문학 편",소울마미;이해수 [공]씀,얼스마미,2022,981.102 소96ㅅ v.1,9791198079312
세계사를 움직이는 다섯 가지 힘,사이토 다카시 지음;홍성민 옮김,뜨인돌(뜨인돌출판),2024,909 사97ㅅ,9788958070177
모성의 공동체,박현정 지음;윤석남 그림,연립서가,2025,911.07 박74ㅁ,9791193598061
(맛집에서 만난)세계지리 수업,남원상 지음;봉현 rmfla,서해문집,2024,980 남98ㅅ,9791192988856
안용복 재판정 참관기,김흥식 엮음;위수연 그림,서해문집,2024,911.05 김76ㅇ,9791192988948
지도 위의 세계사,김종근 지음,EBS Books(한국교육방송공사),2022,909 김63ㅈ,9788954799980
고등학생운동사,김소연 외 지음,동녘,2025,377.256 김55ㄱ,9788972971566
소비의 한국사,김동주 외 지음,서해문집,2024,911 김25ㅅ,9791192988900
장벽의 모든 것,기획집단 MOIM 글;신병근 그림,그림씨,2024,909 모97ㅈ,9791189231576
유물멍,국립중앙박물관 편,세종서적,2024,911.0025 국297ㅇ,9788984078574
(여행하는)일본사,구완회 지음,따비,2024,913 구98ㅇ,9791192169415
당신이 누군가를 죽였다,히가시노 게이고 지음;최고은 옮김,북다(교보문고),2024,833.6 히12ㄷ,9791170611561
시의 언어로 지은 집,허서진 지음,그래도봄,2024,811.09 허53ㅅ,9791192410258
내 이름은 오랑,하유지 지음,뜨인돌,2024,813.6 하96내,9788958070290
하루의 책상,하루 지음,아침달,2024,814.6 하296ㅎ,9791189467982
어마어마하게 멀리서 온 마음,탁경은 지음,우리학교,2024,813.6 탁14ㅇ,9791167552754
이처럼 사소한 것들,클레이 키건,다산북스,2023,843.6 키13ㅇ c.3,9791130646381
엘레나는 알고 있다,클라우디아 피녜이로 지음;엄지영 옮김,비채(김영사),2023,873 피198ㅇ,9788934981725
스토너,존 윌리엄스 지음;김승욱 옮김,RHK알에이치코리아,2015,843 윌297스 c.2,9788925554990
호꼼 골아봅서,제주 애월읍수산리어르신들 지음,책여우,2021,813.8 애98ㅎ,9791187860532
3월의 마치,정한아 지음,문학동네,2025,813.6 정72ㅅ,9791141609313
급류,정대건 지음,민음사,2022,813.6 정28ㄱ,9788937473401
마음 수거함,장아미 지음,생각학교,2024,813.6 장92ㅁ,9791193811139
광인,이혁진 지음,민음사,2023,813.6 이74ㄱ,9788937454677
장애견 모리,이연희 글,책공장더불어,2024,527.4186 이94ㅈ,9788997137862
읽어도 읽은 게 아니야!,이승화 지음,시간여행,2023,029.4 이56ㅇ c.3,9791190301244
1점 때문에,이상권 지음,자음과모음,2024,813.6 이52ㅇ,9788954449991
파란파도,유준재 글·그림,문학동네,2014,D 813.8 유64ㅍ,9788954625753
이상한 집. 2,우케쓰 지음;김은모 옮김,Readbie(디앤씨미디어),2025,833.6 우678ㅇ v.2,9791192738482
가연물,요네자와 호노부 지음;김선영 옮김,리드비(디앤씨미디어),2024,833.6 요198ㄱ,9791192738406
곤을동이 있어요,오시은 글;전명진 그림,바람의아이들,2024,D 813.8 오57ㄱ,9791162102237
(사춘기를 위한)문장력 수업,오승현 지음;금요일 일러스트,생각학교,2024,802 오56ㅁ,9791191360974
모순,양귀자 지음,쓰다,2013,813.7 양18ㅁ c.3,9788998441012
딸은 딸이다,애거사 크리스티 지음;공경희 옮김,포레,2022,843 크297ㄸ,9788954686655
조선 판타스틱 잉글리시,신현수 지음,미래인(미래M&B),2024,813.6 신74ㅈ,9788983949653
명탐정의 제물,시라이 도모유키 지음;구수영 옮김,내친구의서재,2023,833.6 시292ㅁ,9791191803150
안녕 선생님,소향 외 지음,생각학교,2024,813.6 소72ㅇ,9791193811054
천 장의 블라우스를 만들기 위해,세레나 발리스타 글;소니아 마리아 루체 포센티니 그림;김지우 옮김,이온서가,2025,D 883 발297ㅊ,9791198156747
고냉이 털 날리는 제주도로 혼저옵서예,베베집사 지음,흐름,2025,818 베48ㄱ,9788965967026
(초판본)자기만의 방,버지니아 울프 지음;박혜원 옮김,더스토리,2025,843 울696ㅈ,9791194280811
봄밤의 모든 것,백수린 지음,문학과지성사,2025,813.6 백56ㅂ,9788932043500
고백루프,박서련 지음,창비교육,2024,813.6 박5ㅂ c.2,9791165702496
동박새가 된 할머니,박상재 글;이유진 그림,나한기획,2020,D 813.8 박52ㄷ,9788998372286
걷는 망자,미쓰다 신조 지음;김은모 옮김,Readbie(디앤씨미디어),2024,833.6 미886걷,9791192738352
반려공구,모호연 지음,라이프앤페이지,2022,818 모75ㅂ,9791191462135
콘클라베,로버트 해리스 지음;조영학 옮김,RHK(알에이치코리아),2025,843 해297ㅋ,9788925563091
외꺼풀,데브 JJ 리 지음;이주혜 옮김,창비,2024,C 843 리28ㅇ,9788936431372
국어 교과서 작품 읽기. 2: 고등 소설,서덕희;최은영 [공]엮음,창비,2024,813.6 서23국 v.2,9788936431495
국어 교과서 작품 읽기. 1: 고등 소설,서덕희;최은영 [공]엮음,창비,2024,813.6 서23국 v.1,9788936431488
국어 교과서 작품 읽기:고등 수필·비문학,김선형;조인혜 [공]엮음,창비,2024,814.6 김53국,9788936431501
국어 교과서 작품 읽기:고등시,남호섭;이종은 [공]엮음,창비,2024,811.609 남75국,9788936431471
"나는, 그냥 내가 되고 싶어요",나태주 지음;하상만 엮음,쉬는시간,2023,811.6 나688나,9791198430014
우리가 빛의 속도로 갈 수 없다면,김초엽 지음,동아시아,2019,813.6 김665ㅇ c.4,9791190090018
마음을 알아주는 마음,김지호 지음,은행나무,2024,512.516 김65ㅁ,9791167374202
브로콜리를 좋아해?,김지현 지음,사계절,2024,813.6 김65ㅂ,9791169811972
우리의 활보는 사치가 아니야,김지우 지음,휴머니스트(휴머니스트출판그룹),2024,818 김65우 c.2,9791170871286
살아갈 날들을 위한 괴테의 시,김종원 지음;황예나 일러스트,퍼스트펭귄,2025,325.04 김63ㅅ,9791199040311
어쩌다 학교가 집이 되었다,김윤 지음,창비,2023,813.6 김96ㅇ,9788936431204
무등이왓에 부는 바람,김영화 지음,이야기꽃,2022,D 813.8 김94ㅁ,9791192102115
단 한 번의 삶,김영하 지음,복복서가,2025,814.6 김94ㄷ,9791191114768
6교시 인성 영역,김송은 지음,스피리투스(공명),2024,813.6 김55육,9788997870752
도넛을 나누는 기분,김소형 외 저,창비교육,2025,811.6 김55ㄷ,9791165703264
웹소설로 국어 수업,김선민 외 지음,서해문집,2024,374.71 김53ㅇ,9791192988993
동백꽃이 툭,김미희 글;정인성;천복주 [공]그림,토끼섬,2022,D 813.8 김37ㄷ,9791197453342
엄마는 행복하지 않다고 했다,김미향 지음,넥서스Books,2019,818 김37ㅇ,9791190032148
다랑쉬굴 아이,김미승 지음;이소영 그림,한울림어린이,2024,D 911.072 김37ㄷ,9791163931621
매니페스토,김달영 [외]지음,네오북스,2023,813.6 김22ㅁ,9791157403592
예감의 우주,김나현 지음,위즈덤하우스,2024,813.6 김192ㅇ,9791171717255
대온실 수리 보고서,김금희 지음,창비,2024,813.6 김16ㄷ c.3,9788936439651
(사춘기를 위한)문해력 수업,권희린 지음,생각학교,2022,717 권78ㅁ,9791191360486
마징가 계보학,권혁웅 지음,창비,2011,811.6082 창47 v.254,9788936422547
나무 도장,권윤덕 글·그림,평화를품은책,2017,813.6 권96ㄴ c.2,9791185928081
오리들,케이트 비턴 지음;김희진 옮김,김영사,2024,575.5 비683ㅇ,9788934941507
흰 고래의 흼에 대하여,홍한별 지음,위고,2025,818 홍72ㅎ,9791193044230
"보는 사람, 화가",최예선 지음,앤의서재,2024,650.4 최98ㅂ,9791190710862
시티 앤 더 클래식,정재윤 지음,책과나무,2024,670.15 정65ㅅ,9791167524140
(아는 척! 하기 딱 좋은)공연 이야기,정성진 지음,프리뷰,2021,674.2 정53ㄱ,9788997201563
펼친 면의 대화,전가경 지음,아트북스,2024,012.47 전12ㅍ,9788961964432
스크린 너머의 공간 이야기,장윤정 지음,푸른길,2024,980.4 장96ㅅ,9791172670191
꿈꾸는 방,이윤희 지음,이른비,2023,609 이96ㄲ,9791198285027
박물관은 조용하지 않다,이연화 지음,위너스북,2024,069.04 이94ㅂ,9791189352837
극장에 대하여,이승엽 지음,마인드빌딩,2020,681.2068 이56ㄱ,9791190015110
만질 수 있는 생각,이수지 지음,비룡소,2024,814.6 이56ㅁ,9788949101125
(그림이 더 잘 보이는)미술관 이야기,이소영 지음,모요사,2024,606.9 이55ㅁ,9788997066896
(1일 1단어 1분으로 끝내는)클래식공부,이상인 지음,글담,2024,670.15 이52ㅋ,9791191309546
그림의 운명,이명 지음,미술문화,2024,650.4 이34ㄱ,9791192768168
세상의 모든 미술 수업,유홍준 외 지음,창비교육,2024,607 유75ㅅ,9791165702410
월드뮤직 도슨트,유영민 지음,서해문집,2023,673.4 유94ㅇ,9791192988382
(양용기 건축가의)영화 속 건축물,양용기 글,크레파스북,2023,610.4 양95ㅇ,9791189586690
서울은 건축,신효근 글·사진,효형출판,2024,610.9116 신75ㅅ,9788958722199
공간 혁명,세라 W. 골드헤이건 지음;윤제원 옮김,다산사이언스(다산북스),2019,539.7 골26ㄱ,9791130621999
드라마 만드는 여자들,이정림 외 interviewee;백시원 interviewer,느린서재,2024,687.15 이62ㄷ,9791193749029
여행하는 낱말,박 로드리고 세희 지음,곳간,2023,816.6 세78ㅇ,9791197868528
예술 도둑,마이클 핀클 지음;염지선 옮김,생각의힘,2024,844 핀676ㅇ,9791193166659
호크니와 게이퍼드가 말하는 그림의 역사,데이비드 호크니;마틴 게이퍼드 [공]지음;주은정 옮김,미술문화,2024,650.9 호676ㅎ,9791192768175
패션 앤 아트,김영애 지음,마로니에북스,2024,592.01 김94ㅍ,9788960536531
배우와 배우가,김신록 지음,안온(안온북스),2023,681.604 김57ㅂ,9791192638065
잠든 당신의 뇌를 깨워라,황성혁;이영훈 [공]지음,북앤에듀(에스앤씨퍼블리싱),2020,513.898 황53ㅈ,9791155901410
(좌충우돌 외과 의사의)운동초보탈출기,이홍태 지음,나비소리,2023,692.068 이75ㅇ,9791192624877
플라스틱 섬,이명애 지음,사계절,2025,D 813.8 이34ㅍ,9791169813570
(미래를 준비한)세계의 도시들. 2,이두현;류주현 [공]지음,지식과감성#,2025,539.7 이26ㅅ v.2,9791139223965
(미래를 준비한)세계의 도시들. 1,이두현;류주현 [공]지음,지식과감성#,2024,539.7 이26ㅅ v.1,9791139217124
뉴런의 정원,윌리엄 A. 해리스 지음;김한영 옮김,위즈덤하우스,2024,511.1813 해297ㄴ,9791171711970
근력 운동의 과학,오스틴 커런트 지음;권기호 옮김,사이언스북스,2021,511.476 커293ㄱ,9791191187342
어쩐지 미술에서 뇌과학이 보인다,에릭 캔델 지음;이한음 옮김,프시케의숲,2019,511.1813 캔28ㅇ,9791189336035
북극곰이 문제라고요,안치용 지음,마인드큐브,2024,539.9 안667ㅂ,9791188434831
화석 자본,안드레아스 말름 지음;위대현 옮김,두번째테제,2023,539.9 말296ㅎ,9791190186339
(신동원 교수의)한국과학문명사 강의,신동원 지음,책과함께,2021,409.11 신25ㅎ,9791191432008
라마찬드란 박사의 두뇌 실험실,빌라야누르 라찬드란;샌드라 블레이크스리 [공]지음;신상규 옮김,바다,2015,511.1813 라662ㄹ,9788955617580
학교에 비거니즘을,비건교사나는냥 지음,휴머니스트,2024,370.4 비13ㅎ,9791170871385
과학이 바꾼 전쟁의 역사,박영욱 지음,교보문고,2024,409 박94ㄱ,9791170610953
60분 만에 읽는 탄소중립,마에다 유다이 지음;송해영 옮김,북스힐,2025,563.7 마98ㅇ,9791159716003
내가 의대에서 가르친 거짓말들,로버트 러프킨 지음;유영훈 옮김,정말중요한(솜씨컴퍼니),2024,513.3 러696ㄴ,9791186745786
침묵의 봄,레이첼 카슨 지음;김은령 옮김,에코리브르,2024,539.9 카56ㅊ,9788962632729
그레인 브레인,데이비드 펄머터 지음;김성훈 옮김,시공사,2023,517.52 펄33ㄱ,9791169255080
생각은 어떻게 행동이 되는가,데이비드 바드르 지음; 김한영 옮김,해나무,2022,511.1813 바26ㅅ c.2,9791164051519
우리 몸 오류 보고서,네이선 렌츠 지음;노승영 옮김,까치,2018,511.1 렌666ㅇ,9788972916741
"나는 간호사, 사람입니다",김현아 지음,쌤앤파커스,2018,512.804 김74ㄴ,9788965706137
(과학 선생님이 읽어 주는)기후변화 보고서,김추령 지음,서해문집,2025,453.9 김666ㄱ,9791194413202
좋아하는 일로 지구를 지킬 수 있다면,김주온 지음,곰곰(휴머니스트출판그룹),2024,321.55 김64ㅈ,9791170872023
'좋아요'는 어떻게 지구를 파괴하는가,기욤 피트롱 지음;양영란 옮김,갈라파고스,2023,539.913 피686ㅈ c.2,9791187038924
물질의 물리학,한정훈 지음,김영사,2020,420 한62ㅁ c.2,9788934920106
실험에 미친 화학자들의 무한도전,필립 볼 지음;정옥희 옮김,살림Friends,2012,430 볼697실 c.3,8952219236
공기의 연금술,토머스 헤이거 지음;홍경탁 옮김,반니,2015,430.99 헤97ㄱ,9791185435503
화학으로 이루어진 세상,K. 메데페셀헤르만;F. 하마어;H.-J. 크바드베크제거 [같이]지음;권세훈 옮김,에코리브르,2007,430 메28화 c.2,8990048826
시간은 흐르지 않는다,카를로 로벨리 지음;이중원 옮김,쌤앤파커스,2019,420 로48ㅅ,9788965708063
크리스퍼가 온다,제니퍼 다우드나;새뮤얼 스턴버그 [공]지음;김보은 옮김,프시케의숲,2018,476.10733 다96ㅋ,9791196155636
"(장하석의)과학, 철학을 만나다",장하석 지음,지식플러스,2025,401 장72ㄱ,9791198659422
"왜 늙을까, 왜 병들까, 왜 죽을까",이현숙 지음,21세기북스(북이십일),2024,474 이74ㅇ,9791171177653
(집요한 과학자들의)우주 언박싱,이지유 지음,곰곰(휴머니스트출판그룹),2024,440 이65ㅇ,9791170871156
(용감한 과학자들의)지구 언박싱,이지유 지음;박근용;김윤경;임근선 [공]본문 일러스트,곰곰(휴머니스트출판그룹),2024,450 이65ㅈ,9791170871163
퀀텀의 세계,이순칠 지음,해나무(북하우스 퍼블리셔스),2021,420.13 이56ㅋ,9791164051403
생명 과학 뉴스를 말씀드립니다,이고은 지음,창비,2020,470 이15ㅅ c.2,9788936459338
우주의 끝을 찾아서,이강환 지음,현암사,2014,443.1 이12우 c.2,9788932316963
(교양인을 위한)화학사 강의,옌스 죈트겐 지음;비탈리 콘스탄티노프 그림;송소민;강영옥 옮김,반니,2018,430.9 죈686ㅎ,9791187980810
(가볍게 꺼내 읽는)뉴턴,얀 맘브리니 지음;김옥진 옮김,북스힐,2024,420 맘46ㄴ,9791159715518
지구의 짧은 역사,앤드루 H. 놀 지음;이한음 옮김,다산사이언스(다산북스),2021,450 놀98ㅈ,9791130641423
기계는 왜 학습하는가,아닐 아난타스와미 지음;노승영 옮김,까치,2025,005.1 아192ㄱ,9788972918660
세포의 노래,싯다르타 무케르지 지음;이한음 옮김,까치(까치글방),2024,474 무678ㅅ c.2,9788972918189
딥스카이 원더스,수 프렌치 지음;이강민 옮김,동아시아,2019,442.6 프298ㄷ,9788962623031
지워진 천문학자들,쇼히니 고스 지음;박성래 옮김,YoungJin.com(영진닷컴),2025,440.99 고56ㅈ,9788931475685
(읽자마자 과학의 역사가 보이는)원소 어원 사전,김성수 지음,보누스,2023,431.14 김53ㅇ,9788964946534
하나의 세포로부터,벤 스탠거 지음;양병찬 옮김,웅진지식하우스,2024,472 스688ㅎ,9788901288468
괴담으로 과학하기,박재용 지음,생각학교,2023,400 박65ㄱ,9791191360769
측정의 역사,로버트 P. 크리스 지음;노승영 옮김,에이도스,2012,420.71 크297ㅊ,9788996602255
눈부신 수학,다케무라 도모코;오야마구치 나쓰미;사카이 유키코 지음;김소영 번역,미디어숲,2025,410 다678ㄴ,9791158742478
트랜스포머,닉 레인 지음;김정은 옮김,까치,2024,472 레97ㅌ,9788972918356
태양을 만드는 사람들,나용수 지음,계단,2024,429.264 나95ㅌ,9788998243302
수학이 생명의 언어라면,김재경 지음,동아시아,2024,414 김65ㅅ,9788962624953
기후 책,그레타 툰베리 엮음;이순희 옮김,김영사,2023,539.9 툰48ㄱ,9788934964100
궤도의 과학 허세,궤도 지음,동아시아,2022,404 궤25ㄱ2,9788962624366
과학이 필요한 시간,궤도 지음,동아시아,2022,400 궤25ㄱ c.3,9788962624670
과학이 필요한 시간,궤도 지음,동아시아,2022,400 궤25ㄱ c.2,9788962624670
과학이 필요한 시간,궤도 지음,동아시아,2022,400 궤25ㄱ,9788962624670
출발! 1박 2일 캠핑 과학,권홍진;신지영;한문정 [공]지음,휴머니스트,2024,404 권75ㅊ,9791170872467
구름관찰자를 위한 가이드,개빈 프레터피니 지음;김성훈 옮김,김영사,2023,453.76 프298ㄱ,9788934943419
이타적 인간의 출현,최정규 지음,뿌리와이파리,2009,331.5 최62이 c.2,9788990024954
파란하늘 빨간지구,조천호 지음,동아시아,2019,453.9 조663ㅍ c.2,9788962622713
평등에 숨겨진 이야기,황규성 글,내일을여는책,2023,332.6 황16ㅍ,9788977468856
(허브 코헨의)협상의 기술. 1,허브 코헨 지음;양진성 옮김,김영사,2021,325.1 코78ㅎ v.1,9788934989738
"병든 민주주의, 미국은 왜 위태로운가",토마 스네가로프;로맹 위레 [공]지음;권지현 옮김,서해문집,2024,340.942 스198ㅂ c.2,9791192988955
1389번 귀 인식표를 단 암소,캐스린 길레스피 지음;윤승희 옮김,생각의길,2019,194.9 길298ㅊ,9788965135661
"아티스트 웨이, 마음의 소리를 듣는 시간",줄리아 캐머런 지음;이상원 옮김,비즈니스북스,2022,181.53 캐33ㅇ,9791162542767
빠르게 실패하기,존 크럼볼츠;라이언 바비노 [공]지음;도연 옮김,Snowfox(스노우폭스북스),2022,325.04 크293ㅃ,9791191769203
토지에 숨겨진 이야기,전강수 지음,내일을여는책,2022,321.32 전12ㅌ c.2,9788977469907
리커넥트,장재열 지음,저스피스,2025,189.1 장65ㄹ,9791198774798
(똑 부러지지만 금융 지식이 약한)MZ세대를 위한 금융수업,장슬기 지음,북오션,2024,327.43 장56ㅇ,9788967998127
이어령의 말,이어령 지음,세계사,2025,199.8 이93ㅇ,9788933803653
환율의 대전환,오건영 지음,포레스트북스,2025,327.94 오13ㅎ,9791194530107
"앨 고어, 우리의 미래",앨 고어 지음;김주현 옮김,청림,2014,331.5413 고93ㅇ,9788935210039
"노스탤지어, 어느 위험한 감정의 연대기",애그니스 아널드포스터 지음;손성화 옮김,어크로스,2024,181.7 아193ㄴ,9791167741684
어떻게 민주주의는 무너지는가,스티븐 레비츠키;대니얼 지블랫 [공]지음;박세연 옮김,어크로스,2018,340.22 레47ㅇ c.5,9791160560589
어떻게 민주주의는 무너지는가,스티븐 레비츠키;대니얼 지블랫 [공]지음;박세연 옮김,어크로스,2018,340.22 레47ㅇ c.4,9791160560589
어떻게 민주주의는 무너지는가,스티븐 레비츠키;대니얼 지블랫 [공]지음;박세연 옮김,어크로스,2018,340.22 레47ㅇ c.3,9791160560589
꼬리에 꼬리를 무는 경제 이야기,석혜원;연유진 [공]지음,주니어태학(태학사),2024,320 석78ㄲ,9791168102781
청소년을 위한 인권 수업,박혜영 외 지음,보리,2023,342.1 박78ㅊ,9791163143291
트럼프 2.0 시대,박종훈 지음,글로퍼스,2024,331.544 박63ㅌ,9791198987600
(10대를 위한)돈으로 살 수 없는 것들,마이클 샌델 원저;이현희 글;문수민 그림,아이세움(미래엔),2023,320 샌28ㄷ,9791168417564
부자는 왜 더 부자가 되는가,로버트 기요사키 지음;오웅석 옮김,민음인(민음사),2025,325.2113 기95ㅂ,9791170525516
부자 아빠의 자녀 교육법,로버트 기요사키 [공]저;샤론 레흐트;형선호 옮김,황금가지,2009,327.83 기95ㅂ,9788982732997
부자 아빠 가난한 아빠. 2: 부자들이 들려주는 돈 관리 7가지 방법,로버트 기요사키;샤론 레흐트 [공]지음;형선호 옮김,민음인,2009,327.04 기95ㅂ v.2,9788982732508
여자를 위한 도시는 없다,레슬리 컨 지음;황가한 옮김,열린책들,2022,337.2 컨298ㅇ,9788932922522
애티튜드,도리스 메르틴 지음;이미옥 옮김,카시오페아,2023,199.1 메296ㅇ,9791168270961
(인간의 운명을 바꾸는)아비투스의 힘,도리스 메르틴 지음;이지윤 옮김,더퀘스트(길벗),2024,325.04 메296ㅇ c.2,9791140711277
우리의 활보는 사치가 아니야,김지우 지음,휴머니스트(휴머니스트출판그룹),2024,818 김65우,9791170871286
우리 안의 우생학,김재형 외 지음;현재환;박지영;김재형 [공]엮음,돌베개,2024,517.24 김65ㅇ,9791192836911
광고의 모든 것,김재인 글;위수연 그림,그림씨,2024,326.14 김65ㄱ,9791189231538
번아웃 세대,곽연선 지음,스리체어스,2022,325.23 곽94ㅂ,9791192572390
(청소년을 위한)진로 인문학,강봉숙 외 지음,지노,2024,372.68 강45ㅈ,9791193878019
(14살부터 시작하는)나의 첫 돈 공부,가켄편집부 글·구성;[카나 만화];[모도로카 일러스트];이현욱 옮김,뜨인돌,2024,327.04 가678ㄴ,9788958070085
보이스,존 콜라핀토 지음;고현석 옮김,매일경제신문사,2022,001.3 콜292ㅂ,9791164844081
나는 무엇을 위해 사는가,오스 기니스 지음;윤종석 옮김,IVP,2024,234.8 기197ㄴ,9788932823089
위버멘쉬,프리드리히 니체 지음;어나니머스 옮김,RISE(떠오름),2025,165.77 니668ㅇ,9791192372730
내면의 삶,프레데리크 르누아르 지음;강만원 옮김,마인드큐브,2023,189 르196ㄴ,9791188434725
무경계,켄 윌버 지음;김철수 옮김,정신세계사,2012,189 윌43ㅁ,9788935703623
열네 살 우울이 찾아왔다,차열음 지음;[백초윤 illust],창비,2024,818 차94ㅇ,9788936453268
기억한다는 착각,차란 란가나스 지음;김승욱 옮김,김영사,2025,181.4 란12ㄱ,9791173320828
나는 꽤 괜찮은 내가 될 거야,이승욱 지음,생각학교,2024,189.1 이56ㄴ,9791193811337
내 안에 살아 있는 관계 유산,이레지나 지음,라이프앤페이지,2024,189.2 이298ㄴ,9791191462319
자살의 연구,앨 앨버레즈 지음;최승자;황은주 [공]옮김,을유문화사,2025,184.7 앨43ㅈ,9788932475394
중력과 은총,시몬 베유 지음;윤진 옮김,문학과지성사,2021,166.8 베96ㅈ,9788932039244
나는 나를 지킵니다,박진영 지음;안난초 일러스트,우리학교,2024,189 박65나,9791167552549
좋은 죽음에 관하여,미셸 에켐 드 몽테뉴 지음;박효은 옮김,arte(북이십일),2024,114.5 몽688ㅈ,9791171178643
(10대를 위한)공정하다는 착각,마이클 샌델 원저;신현주 글,아이세움(미래엔),2022,332.6 샌28ㄱ,9791168412040
상처받지 않는 영혼,마이클 A. 싱어 지음;이균형 옮김,라이팅하우스,2014,189 싱93ㅅ,9788998075088
삶이 당신보다 더 잘 안다,마이클 A. 싱어 지음;이균형 옮김,라이팅하우스,2023,189 싱93ㅅ,9791193081037
증여론,마르셀 모스 지음;박세진 옮김,파이돈,2025,331.01 모56ㅈ,9791198561985
온라인과 오프라인 사이에서 철학하다,도야 히로시 글;불키드 그림;이소담 옮김,위즈덤하우스,2024,100 도92ㅇ c.2,9791171712144
무의식은 어떻게 나를 설계하는가,데이비드 이글먼 지음;김승욱 옮김,RHK(알에이치코리아),2024,511.1813 이16ㅁ,9788925574394
다윈의 위험한 생각,대니얼 C. 데닛 지음;신광복 옮김,바다출판사,2025,476.0162 데197ㄷ,9791166893162
나와 너 사이에서 철학하다,다나카 마치 글;최진영 그림;이소담 옮김,위즈덤하우스,2024,100 다192ㄴ,9791171712908
생각 중독,닉 트렌턴 지음;박지선 옮김,갤리온(웅진씽크빅),2024,181.3 트298ㅅ,9788901280486
다정함이 인격이다,김선희 지음,나무생각,2025,186 김53ㄷ,9791162183397
논리는 나의 힘,최훈 지음,우리학교,2024,170 최76ㄴ,9791167552839
(파이썬으로 쉽게 배우는)자료구조,최영규;천인국 [공]지음,생능,2023,005.73 최94ㅈ,9791192932187
미래를 바꾼 아홉 가지 알고리즘,존 맥코믹 지음;민병교 옮김,에이콘,2013,005.1 맥675ㅁ,9788960774384
(10대를 위한)인공지능에 관한 거의 모든 것,전승민 지음,교보문고,2023,004.73 전56ㅇ,9791170610861
데이터를 철학하다,장석권 지음,흐름,2018,331.5412 장53ㄷ,9788965962670
"AI, 예술의 미래를 묻다",장병탁 외 지음,시공아트,2024,600.1 장44ㅇ,9791171257393
나는 오렌지로 데이터 분석한다,임진숙 외 지음,씨마스,2021,004.73 임65ㄴ,9791156724643
다빈치가 된 알고리즘,이재박 지음,MID(엠아이디),2018,600.13 이65ㄷ,9791187601814
모두의 알고리즘 with 파이썬,이승찬 지음,길벗,2017,005.1 이56모 c.2,9791160501728
컴퓨터과학이 여는 세계,이광근 지음,인사이트,2015,004 이18ㅋ,9788966261437
나의 첫 AI 수학,오세준 지음,맘에드림,2023,410 오58ㄴ,9791189404871
아이들은 어떻게 베스트셀러를 만들었을까,쓰지 유미 지음;김단비 옮김,유유,2024,029.8 쓰65ㅇ,9791167700865
질문에 관한 질문들,백희정 지음,노르웨이숲,2023,004.73 백78ㅈ c.2,9791197791765
(박태웅의)AI 강의 2025,박태웅 지음,한빛비즈,2024,004.73 박688ㅇ,9791157847679
함께 자라기,김창준 지음,인사이트,2018,005.12 김662ㅎ,9788966262335
지금도 책에서만 얻을 수 있는 것,김지원 지음,유유,2024,029.1 김65ㅈ,9791167700841
위대한 대화,김지수 지음,생각의힘,2023,818 김65위,9791190955843
"(수학, 통계 지식 없이 배우는)문과생을 위한 인공지능 입문",김장현;김민철 [공]지음,에이콘,2023,004.73 김62ㅁ,9791161757339
난생처음 컴퓨팅 사고 with 파이썬,김명호 지음,한빛아카데미,2021,005.133 김34ㄴ,9791156645214
(The)Vegetarian,by Han Kang;translated from the Korean by Deborah Smith,Hogarth,2016,W 813.7 K16v,9781101906118
대온실 수리 보고서,김금희 지음,창비,2024,813.6 김16ㄷ c.2,9788936439651
Class act,by Jerry Craft,Harperalley,2020,W 843 N532 v.2,9780062885500
New Kid,by Jerry Craft;with color by Jim Callahan,HarperCollins,2019,W 843 N532 v.1,9780062691194
진실과 기억,홍순권 지음,산지니,2023,911.077 홍56ㅈ,9791168612235
25가지 질병으로 읽는 세계사,정승규 지음,반니,2021,909 정56ㅇ,9791191214628
"저항의 도시, 타이베이를 걷다",왕즈훙 외 지음;곽규환;한철민 외 옮김,산지니,2017,912.4 왕64ㅈ,9788965454458
(1페이지로 시작하는)한국사 수업,심용환 지음,빅피시,2024,911 심95ㅎ,9791193128817
