title,author,publisher,publication_year,call_number,ISBN
꽃산 가는 길,김용택 지음,창작과비평사,2003,811.6082 창47 v.70,8936420704
사랑의 변주곡,김수영 지음;백락청 엮음,창작과비평사,2002,811.6082 창47 v.68,8936420682
이슬처럼,황선하 저,창작과비평사,2004,811.6082 창47 v.67,
네 눈동자,고은 저,창작과비평사,1994,811.6082 창47 v.66,8936420666
바다가 보이는 교실,정일근 저,창작과비평사,2003,811.6082 창47 v.65,8936420658
금빛 은빛,홍희표 저,창작과비평사,1987,811.6082 창47 v.64,1922121910
자유가 시인더러,조태일 저,창작과비평사,1997,811.6082 창47 v.60,8936420607
넋이야 넋이로다,하종오 저,창작과비평사,1994,811.6082 창47 v.58,8936420585
맑은 날,김용택 저,창작과비평사,1999,811.6082 창47 v.56,8936420569
끝끝내 너는,나종영 저,창작과비평사,1995,811.6082 창47 v.53,8936420534
달 넘세,신경림 지음,창작과비평사,2003,811.6082 창47 v.51,8936420518
조국의 별,고은 저,창작과비평사,1997,811.6082 창47 v.41,8936420410
사평역에서,곽재구 저,창작과비평사,2003,811.6082 창47 v.40,8936420402
타는 목마름으로,김지하 지음,창작과비평사,2003,811.6082 창47 v.33,893642033X
봄의 소리,김창범 지음,창작과비평사,1991,811.6082 창47 v.31,
예레미야의 노래,박두진 지음,창작과비평사,2000,811.6082 창47 v.29,8936420291
유리창에 이마를 대고,이가림 지음,창작과비평사,1996,811.6082 창47 v.27,8936420275
바람 설레는 날에,인태성 지음,창작과비평사,1997,811.6082 창47 v.25,8936420259
"우짖는 새여, 太陽이여",이인석 지음,창작과비평사,1996,811.6082 창47 v.22,8936420224
누가 하늘을 보았다 하는가,신동엽 지음,창작과비평사,2003,811.6082 창47 v.20,8936420208
슬픔이 기쁨에게,정호승 지음,창작과비평사,2002,811.6082 창47 v.19,8936420194
새재,신경림 지음,창작과비평사,2002,811.6082 창47 v.18,8936420186
저문 강에 삽을 씻고,정희성 지음,창작과비평사,2003,811.6082 창47 v.16,893642016X
새벽길,고은 지음,창작과비평사,2000,811.6082 창47 v.15,9788936420154
龍仁 지나는 길에,민영 지음,창작과비평사,1997,811.6082 창47 v.11,9788936420116
滿月,이시영 지음,창작과비평사,2000,811.6082 창47 v.10,8936420100
農舞,신경림 지음,창작과비평사,2003,811.608 창47 v.1,8936420011
버스 정류장,가오싱젠 지음;오수경 옮김,민음사,2002,808 세18민 v.71,8937460718
밤으로의 긴 여로,유진 오닐 지음;민승남 옮김,범우사,2002,808 세18민 v.69,9788963650791
뻬쩨르부르그 이야기,고골 지음;조주관 옮김,민음사,2003,808 세18민 v.68,8937460688
황야의 이리,헤르만 헤세 지음;김누리 옮김,민음사,2003,808 세18민 v.67,893746067X
나르치스와 골드문트,헤르만 헤세 지음;임홍배 옮김,민음사,2003,808 세18민 v.66,8937460661
소망 없는 불행,페터 한트케 지음;윤용호 옮김,민음사,2003,808 세18민 v.65,8937460653
넙치. 2,귄터 그라스 지음;김재혁 옮김,민음사,2003,808 세18민 v.64,8937460645
넙치. 1,귄터 그라스 지음;김재혁 옮김,민음사,2002,808 세18민 v.63,8937460637
벨킨 이야기.스페이드 여왕,알렉산드르 세르게예비치 푸슈킨 지음;최선 옮김,민음사,2003,808 세18민 v.62,8937460629
설국,가와바타 야스나리 지음;유숙자 옮김,민음사,2003,808 세18민 v.61,8937460610
아들과 연인. 2,데이비드 허버트 로렌스 지음;정상준 옮김,민음사,2003,808 세18민 v.60,8937460602
